id	reviewGroup	release	taxonomy	plannerOwner	primary	moveReview	leak	rejected	contractId	contractStatus	contractFailures	note
screen-K08E	screen:C:attacker_trade_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only attacking-piece trade candidate; no root PV owner proof.
screen-K08F	screen:C:attacker_trade_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only attacking-piece trade candidate; no root PV owner proof.
screen-K08G	screen:C:attacker_trade_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only attacking-piece trade candidate; no root PV owner proof.
priority-MI1	priority:C:simplification_conversion	SupportedLocal	same_job_or_conversion_relabel_blocked	WhyThis:MoveDelta:target	This trade keeps the same local edge on c6.	A key idea is that This trade keeps the same local edge on c6.	false	WhatMattersHere:position_probe_missing	subplan:simplification_window	Releasable	none	PV-backed material-imbalance simplification candidate from PlanPriority FEN bank.
priority-MI4	priority:C:simplification_conversion	Suppressed	same_job_or_conversion_relabel_blocked	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	PV-backed bishop-pawn simplification candidate from PlanPriority FEN bank.
priority-MR1	priority:C:tactical_first_blocker	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	PV-backed Hedgehog shell where a direct tactic leads over strategic background.
priority-MR2	priority:C:tactical_first_blocker	Suppressed	tactical_truth_first	-	-	The move keeps the opponent's activity restrained and aims to consolidate.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	PV-backed open-file fight where a tactic leads over strategic background.
priority-MR3	priority:C:tactical_first_blocker	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	PV-backed Dragon shell where forcing line leads over strategic background.
priority-TO1	priority:C:tactical_override	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	PV-backed won-pawn continuation from tactical override bank.
priority-SC2	priority:B:compensation_target_pressure	Suppressed	compensation_target_pressure_boundary	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	PV-backed strategic-compensation weakness-fixation candidate.
priority-SC3	priority:B:compensation_target_pressure	Suppressed	compensation_target_pressure_boundary	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	PV-backed Benko compensation weakness-fixation candidate.
priority-SC4	priority:B:compensation_target_pressure	Suppressed	compensation_target_pressure_boundary	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	PV-backed Benko bishop-pressure weakness-fixation candidate.
priority-SC5	priority:B:compensation_target_pressure	Suppressed	compensation_target_pressure_boundary	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	PV-backed Blumenfeld pressure candidate.
priority-SC6	priority:B:compensation_target_pressure	Suppressed	compensation_target_pressure_boundary	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	PV-backed Blumenfeld initiative candidate.
B15A-supported-local-soft	B:softened_fixed_target	Suppressed	weak_owner_path	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	Same real B15A board/PV with exact owner path deliberately weakened.
K09B-supported-local-soft	C:softened_simplification	Suppressed	weak_owner_path	-	-	-	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:simplification_window	Releasable	witness:branch_not_proven+witness:persistence_not_stable	Same real K09B board/PV with simplification owner path deliberately weakened.
iqp-supported-local-control	C:iqp_inducement_control	Suppressed	iqp_inducement_supported_local	-	-	The move keeps the opponent's activity restrained and aims to consolidate.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Controlled exact board/PV where the sequence leaves an opponent isolated pawn.
break-prevention-supported-local-control	A:break_prevention_control	Suppressed	break_prevention_supported_local	-	-	23... c8: This is a pawn move to c8.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Controlled exact board/PV where a named key break is locally neutralized, then deliberately weakened to SupportedLocal.
B15A-tactical-veto	negative:tactical_veto	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_SupportOnly+forcing_defense_support_only_outside_forcing_scene+scene=tactical_failure+planner_owner=ForcingDefense+planner_source=threat	-	-	-	Same B15A strategic row under tactical failure.
B16B-tactical-veto	negative:tactical_veto	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Same B16B strategic row under tactical failure.
K09A-tactical-veto	negative:tactical_veto	TacticalVeto	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:strategic_claim_tactical_veto+truth_contract_blunder+truth_contract_tactical_refutation+truth_contract_tactical_failure_mode+context_severe_counterfactual | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	runtime:target_focused_coordination	Releasable	none	Same K09A coordination row under tactical failure.
K09B-tactical-veto	negative:tactical_veto	TacticalVeto	tactical_truth_first	-	-	-	false	WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=tactical_failure+planner_owner=MoveDelta+planner_source=target | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=tactical_failure+planner_owner=MoveDelta+planner_source=target | WhyNow:admission_SupportOnly+forcing_defense_support_only_outside_forcing_scene+scene=tactical_failure+planner_owner=ForcingDefense+planner_source=threat	subplan:simplification_window	Releasable	none	Same K09B simplification row under tactical failure.
K09F-tactical-veto	negative:tactical_veto	TacticalVeto	tactical_truth_first	-	-	-	false	WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=tactical_failure+planner_owner=MoveDelta+planner_source=target | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=tactical_failure+planner_owner=MoveDelta+planner_source=target | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=tactical_failure+planner_owner=MoveDelta+planner_source=target	subplan:simplification_window	Releasable	none	Same K09F simplification row under tactical failure.
break-prevention-tactical-veto	negative:break_prevention_tactical_veto	Suppressed	tactical_truth_first	-	-	23... c8: This is a pawn move to c8.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Same named-break control under explicit tactical failure.
break-prevention-missing-witness-control	negative:break_prevention_missing_witness	Suppressed	owner:break_prevention_witness_missing	-	-	23... c8: This is a pawn move to c8.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Named-break shell with the best-defense branch witness missing.
break-prevention-rival-relabel-control	negative:break_prevention_rival_or_relabel	Suppressed	owner:break_prevention_rival_or_relabel	-	-	23... c8: This is a pawn move to c8.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Named-break shell blocked by release-risk rather than promoted as generic counterplay prose.
prophylaxis-restraint-supported-local-control	A:prophylaxis_restraint_control	Suppressed	prophylaxis_restraint_supported_local	-	-	12. a3: This moves the pawn to a3.	false	WhyThis:missing_move_owner	-	-	-	Controlled exact board/PV where a named counterplay resource is locally restrained.
prophylaxis-restraint-tactical-veto	negative:prophylaxis_restraint_tactical_veto	Suppressed	tactical_truth_first	-	-	12. a3: This moves the pawn to a3.	false	WhyThis:missing_move_owner	-	-	-	Same prophylaxis-restraint control under explicit tactical failure.
prophylaxis-restraint-missing-witness-control	negative:prophylaxis_restraint_missing_witness	Suppressed	owner:prophylaxis_restraint_witness_missing	-	-	12. a3: This moves the pawn to a3.	false	WhyThis:missing_move_owner	-	-	-	Named counterplay-restraint shell missing the best-defense branch witness.
prophylaxis-restraint-rival-relabel-control	negative:prophylaxis_restraint_rival_or_relabel	Suppressed	owner:prophylaxis_restraint_rival_or_relabel	-	-	12. a3: This moves the pawn to a3.	false	WhyThis:missing_move_owner	-	-	-	Named counterplay-restraint shell blocked by move-order release risk.
priority-MR1-tactical-veto	negative:tactical_veto	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	PlanPriority MR1 under explicit tactical failure.
priority-MR2-tactical-veto	negative:tactical_veto	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	PlanPriority MR2 under explicit tactical failure.
priority-TO1-tactical-veto	negative:tactical_veto	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_SupportOnly+forcing_defense_support_only_outside_forcing_scene+scene=tactical_failure+planner_owner=ForcingDefense+planner_source=threat	-	-	-	PlanPriority TO1 under explicit tactical failure.
B15A-supported-local-veto	negative:softened_tactical_veto	Suppressed	tactical_truth_first	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_SupportOnly+forcing_defense_support_only_outside_forcing_scene+scene=tactical_failure+planner_owner=ForcingDefense+planner_source=threat	-	-	-	Same softened B15A row under tactical failure.
